Oid,ISBN
O0000001,1-2345-6789-0
O0000002,2-3456-7890-1
O0000003,3-4567-8901-2
O0000004,4-5678-9012-3
O0000005,5-6789-0123-4
O0000006,6-7890-1234-5
O0000007,7-8901-2345-6
O0000008,8-9012-3456-7
O0000009,9-0123-4567-8
O0000010,0-1234-5678-9
O0000011,7-9426-1176-3
O0000012,9-4200-2695-7
O0000013,1-9910-0401-2
O0000014,3-9082-4611-0
O0000015,2-6000-1959-0
O0000016,6-0660-4810-0
O0000017,7-9426-1176-3
O0000018,9-4200-2695-7
O0000019,4-1742-5903-1
O0000020,2-6000-1959-0
O0000021,7-9426-1176-3
O0000022,7-9426-1176-3
O0000023,3-9082-4611-0
O0000024,7-3943-7121-9
O0000025,7-9426-1176-3
O0000026,3-7001-3354-4
O0000027,3-9082-4611-0
O0000028,7-9426-1176-3
O0000029,3-9082-4611-0
O0000030,3-9082-4611-0